sample_size,seed,model,spearman
400,1,GPR(ESM2 LLR only),0.3131504922644163
400,1,GPR(ESM2 LLR + s_mut PCA 5D),0.18527894983591184
400,1,GPR(ESM2 LLR + z_pair PCA 5D),0.4889357712142523
400,1,GPR(ESM2 LLR + z_pair PCA 10D),0.5447960618846696
400,2,GPR(ESM2 LLR only),0.3135156675843075
400,2,GPR(ESM2 LLR + s_mut PCA 5D),0.2855736379188625
400,2,GPR(ESM2 LLR + z_pair PCA 5D),0.5037535381798772
400,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5932993043896088
400,3,GPR(ESM2 LLR only),0.07630098452883263
400,3,GPR(ESM2 LLR + s_mut PCA 5D),0.08213783403656823
400,3,GPR(ESM2 LLR + z_pair PCA 5D),0.27894983591186123
400,3,GPR(ESM2 LLR + z_pair PCA 10D),0.419831223628692
400,4,GPR(ESM2 LLR only),0.26148616971401784
400,4,GPR(ESM2 LLR + s_mut PCA 5D),0.3084388185654009
400,4,GPR(ESM2 LLR + z_pair PCA 5D),0.40792311298640416
400,4,GPR(ESM2 LLR + z_pair PCA 10D),0.4741443975621191
400,5,GPR(ESM2 LLR only),0.0694327238631036
400,5,GPR(ESM2 LLR + s_mut PCA 5D),0.05857946554149086
400,5,GPR(ESM2 LLR + z_pair PCA 5D),0.36022034692920774
400,5,GPR(ESM2 LLR + z_pair PCA 10D),0.5778715424285046
400,6,GPR(ESM2 LLR only),0.034481950304735116
400,6,GPR(ESM2 LLR + s_mut PCA 5D),0.18183309892170652
400,6,GPR(ESM2 LLR + z_pair PCA 5D),0.32735583684950775
400,6,GPR(ESM2 LLR + z_pair PCA 10D),0.5014533520862635
400,7,GPR(ESM2 LLR only),0.2979975269479614
400,7,GPR(ESM2 LLR + s_mut PCA 5D),0.35667110098538496
400,7,GPR(ESM2 LLR + z_pair PCA 5D),0.4165050193755262
400,7,GPR(ESM2 LLR + z_pair PCA 10D),0.4390203880782611
400,8,GPR(ESM2 LLR only),0.031883627271166025
400,8,GPR(ESM2 LLR + s_mut PCA 5D),0.11449562300384983
400,8,GPR(ESM2 LLR + z_pair PCA 5D),0.40578996718237226
400,8,GPR(ESM2 LLR + z_pair PCA 10D),0.44650726676043134
400,9,GPR(ESM2 LLR only),0.23445850914205346
400,9,GPR(ESM2 LLR + s_mut PCA 5D),0.3195733708391936
400,9,GPR(ESM2 LLR + z_pair PCA 5D),0.46024378809188937
400,9,GPR(ESM2 LLR + z_pair PCA 10D),0.5717299578059072
800,0,GPR(ESM2 LLR only),0.19696518086980078
800,0,GPR(ESM2 LLR + s_mut PCA 5D),0.2828749491938761
800,0,GPR(ESM2 LLR + z_pair PCA 5D),0.4979474325972089
800,0,GPR(ESM2 LLR + z_pair PCA 10D),0.5446958406719954
800,1,GPR(ESM2 LLR only),0.18544912613467004
800,1,GPR(ESM2 LLR + s_mut PCA 5D),0.22559273811136696
800,1,GPR(ESM2 LLR + z_pair PCA 5D),0.4014022490177482
800,1,GPR(ESM2 LLR + z_pair PCA 10D),0.5045183579460776
800,2,GPR(ESM2 LLR only),0.15568038829514988
800,2,GPR(ESM2 LLR + s_mut PCA 5D),0.24850672081515246
800,2,GPR(ESM2 LLR + z_pair PCA 5D),0.4714545309831496
800,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5413672628500902
800,3,GPR(ESM2 LLR only),0.2771778891749085
800,3,GPR(ESM2 LLR + s_mut PCA 5D),0.31151605473513067
800,3,GPR(ESM2 LLR + z_pair PCA 5D),0.5402181276249829
800,3,GPR(ESM2 LLR + z_pair PCA 10D),0.6289865871833082
800,4,GPR(ESM2 LLR only),0.20909090909090902
800,4,GPR(ESM2 LLR + s_mut PCA 5D),0.2600731608183172
800,4,GPR(ESM2 LLR + z_pair PCA 5D),0.43849749356455753
800,4,GPR(ESM2 LLR + z_pair PCA 10D),0.6125186289120713
800,5,GPR(ESM2 LLR only),0.2159734453326107
800,5,GPR(ESM2 LLR + s_mut PCA 5D),0.19203359978322715
800,5,GPR(ESM2 LLR + z_pair PCA 5D),0.4328546267443435
800,5,GPR(ESM2 LLR + z_pair PCA 10D),0.6587657498983877
800,6,GPR(ESM2 LLR only),0.22960303481913014
800,6,GPR(ESM2 LLR + s_mut PCA 5D),0.2673824685002032
800,6,GPR(ESM2 LLR + z_pair PCA 5D),0.38688524590163925
800,6,GPR(ESM2 LLR + z_pair PCA 10D),0.5227001761278958
800,7,GPR(ESM2 LLR only),0.16312180450132538
800,7,GPR(ESM2 LLR + s_mut PCA 5D),0.22467860838436293
800,7,GPR(ESM2 LLR + z_pair PCA 5D),0.47609821856561046
800,7,GPR(ESM2 LLR + z_pair PCA 10D),0.6182099617438104
800,8,GPR(ESM2 LLR only),0.22886465248611296
800,8,GPR(ESM2 LLR + s_mut PCA 5D),0.2023099850968703
800,8,GPR(ESM2 LLR + z_pair PCA 5D),0.5651673215011515
800,8,GPR(ESM2 LLR + z_pair PCA 10D),0.6468229237230727
800,9,GPR(ESM2 LLR only),0.33267962566111997
800,9,GPR(ESM2 LLR + s_mut PCA 5D),0.3595900270648829
800,9,GPR(ESM2 LLR + z_pair PCA 5D),0.5555363620691738
800,9,GPR(ESM2 LLR + z_pair PCA 10D),0.6540260602464701
