Protein,LLR_direct,v9_mean,v9_std,EP_mean,EP_std,Delta,Winner
DYR_ECOLI,0.5284540240365899,0.6310058010078519,0.04523663473894622,0.5934164420485176,0.04858136728641502,0.03758935895933424,v9
NUD15_HUMAN,0.6890797261320976,0.781538146021329,0.027559480193370994,0.7459844134536505,0.037852056490464976,0.035553732567678464,v9
TPMT_HUMAN,0.45871992669021633,0.5667095394351342,0.041350285840574035,0.6032110629321459,0.038815992500061784,-0.036501523497011634,EvolvePro
KKA2_KLEPN,0.6611869519940975,0.7134220264310404,0.01737122550457034,0.6402135741791402,0.06989378692516818,0.0732084522519002,v9
HSP82_YEAST,0.5857961382192539,0.6336203562639166,0.03864803000909655,0.5279122231337161,0.03412476763744203,0.10570813313020044,v9
P53_HUMAN,0.6163578918115049,0.6987735849056603,0.025260231113111896,0.6509984765029884,0.031665198796335586,0.04777510840267196,v9
AMIE_PSEAE,0.5763955516380272,0.6149178379620035,0.03713323700136355,0.6041318565051015,0.04845798173000455,0.010785981456902016,v9
PTEN_HUMAN,0.2367314535575054,0.5932611549303178,0.05570223519917682,0.6331185734881764,0.05609169895911472,-0.039857418557858515,EvolvePro
